type,layer,block,x,y
INSERT,WINDOW,$DorLib2D$00000222,-5554527.104055315,-9917483.526796395
INSERT,WINDOW,$DorLib2D$00000228,-5523233.752448679,-9709779.123508615
INSERT,COLUMN,_FZHK,-5541500.312917487,-9778484.170588511
INSERT,COLUMN,_FZHK,-5541572.829177226,-9777286.363510693
INSERT,COLUMN,_FZHK,-5542124.297135655,-9768182.688118175
INSERT,COLUMN,_FZHK,-5542675.727592971,-9759079.010454131
INSERT,COLUMN,_FZHK,-5542603.136352213,-9760276.812822306
INSERT,COLUMN,_FZHK,-5541021.398726851,-9786390.041175156
INSERT,COLUMN,_FZHK,-5541260.624180867,-9782440.617291248
INSERT,COLUMN,_FZHK,-5541812.054637782,-9773336.939627178
INSERT,COLUMN,_FZHK,-5542363.496238761,-9764233.077983567
INSERT,COLUMN,_FZHK,-5542863.077023413,-9755985.399362138
INSERT,COLUMN,_FZHK,-5543080.697839983,-9752393.578925284
INSERT,COLUMN,_FZHK,-5542051.74338454,-9769380.49276457
INSERT,WINDOW,$DorLib2D$00000228,-5550228.245403079,-9848119.125541405
INSERT,WALL,A$C26C2625F,-5533948.210398171,-9684093.411740528
INSERT,WALL,A$C26C2625F,-5528451.569790743,-9673023.081609823
INSERT,WALL,A$C26C2625F,-5548734.321035055,-9684451.70148891
INSERT,WINDOW,$DorLib2D$00000222,-5551537.421859519,-9671519.349624464
INSERT,STEEL,SHUCHI,5459648.635491264,-9576130.64192526
INSERT,STEEL,SHUCHI,5463323.724702465,-9575117.523897459
INSERT,STEEL,SHUCHI,-5455628.841305617,-9561557.691170833
INSERT,STEEL,SHUCHI,-5459304.258128492,-9560545.762306356
INSERT,建-墙体－砖墙,sdf2f2f3f,-5513116.117259158,-9547345.136300897
INSERT,粗实线层,A$C027A6B0C,-5517209.436916713,-9674068.018695949
INSERT,粗实线层,A$C027A6B0C,-5551276.943542849,-9657832.91803282
INSERT,STAIR,$DorLib2D$00000231,-5405950.104826446,-9571267.654375303
INSERT,COLUMN,_FZHK,-5430078.853390211,-9570654.430780958
INSERT,I-FURN,$PLAN$00001584,5443285.847108894,-9569040.621212833
INSERT,I-FURN,$PLAN$00001584,5435763.043290886,-9570549.876876414
INSERT,KbhRt主线_右线xl,dasddddss,5519808.848682455,-9802892.829963688
INSERT,KbhRt主线_右线xl,dasddddss,5518789.167575171,-9802688.25616414
INSERT,通信-技术防范,A$C4CA400BE,-5440364.875581003,-9558229.433344044
INSERT,通信-技术防范,A$C4CA400BE,-5437253.691232407,-9558803.879989994
INSERT,通信-技术防范,A$C4CA400BE,-5434618.707908405,-9559278.492602809
INSERT,通信-技术防范,A$C4CA400BE,-5438860.24866301,-9568206.502754502
INSERT,通信-技术防范,A$C4CA400BE,-5440708.476595061,-9565911.841128333
INSERT,通信-技术防范,A$C4CA400BE,-5435893.737404297,-9566894.525223839
INSERT,建-墙体－砖墙,sdf2f2f3f,-5515077.042471487,-9546951.72517793
INSERT,建-墙体－砖墙,sdf2f2f3f,-5517037.967683815,-9546558.31405496
INSERT,建-墙体－砖墙,sdf2f2f3f,-5393902.444276267,-9520352.768426088
INSERT,ARDOOR,AUD02D1S,-5403425.753961792,-9539784.11937612
INSERT,建-墙体－砖墙,sdf2f2f3f,-5402692.245879771,-9537348.07970143
INSERT,7号线,_FZH,-5484627.202819459,-9479361.123193498
INSERT,7号线,_FZH,-5483436.947259372,-9473991.459172196
INSERT,7号线,_FZH,-5477304.933699494,-9480984.198957251
INSERT,7号线,_FZH,-5476114.678139412,-9475614.534935951
INSERT,7号线,_FZH,-5469494.513304878,-9482715.479771924
INSERT,7号线,_FZH,-5468304.257744788,-9477345.81575062
INSERT,7号线,_FZH,-5461684.092910251,-9484446.760586594
INSERT,7号线,_FZH,-5460493.837350164,-9479077.096565294
INSERT,7号线,_FZH,-5453873.672515627,-9486178.04140127
INSERT,7号线,_FZH,-5452683.416955543,-9480808.377379966
INSERT,7号线,_FZH,-5446063.252121005,-9487909.322215944
INSERT,7号线,_FZH,-5444872.996560921,-9482539.658194637
INSERT,7号线,_FZH,-5438252.831726385,-9489640.603030611
INSERT,7号线,_FZH,-5437062.576166296,-9484270.939009311
INSERT,7号线,_FZH,-5490485.018115423,-9478062.662582495
INSERT,7号线,_FZH,-5489294.762555338,-9472692.998561193
INSERT,7号线,_FZH,-5430442.411331759,-9491371.883845287
INSERT,7号线,_FZH,-5429252.155771672,-9486002.219823982
INSERT,7号线,_FZH,-5422631.990937134,-9493103.164659959
INSERT,7号线,_FZH,-5421441.735377047,-9487733.500638659
INSERT,7号线,_FZH,-5414821.570542512,-9494834.445474632
INSERT,7号线,_FZH,-5413631.314982426,-9489464.781453326
INSERT,7号线,_FZH,-5407011.150147889,-9496565.726289306
INSERT,7号线,_FZH,-5405820.894587804,-9491196.062268002
INSERT,7号线,_FZH,-5398010.474193181,-9492927.343082676
INSERT,7号线,_FZH,-5399200.729753267,-9498297.00710398
INSERT,7号线,_FZH,-5391390.309358642,-9500028.287918647
INSERT,7号线,_FZH,-5390200.053798556,-9494658.623897347
INSERT,7号线,_FZH,-5383579.888964019,-9501759.568733321
INSERT,7号线,_FZH,-5382389.633403931,-9496389.904712017
INSERT,7号线,_FZH,-5374872.103774107,-9498056.26249614
INSERT,7号线,_FZH,-5367061.683379485,-9499787.543310812
INSERT,7号线,_FZH,-5359251.262984859,-9501518.824125486
INSERT,7号线,_FZH,-5351440.842590238,-9503250.104940159
INSERT,7号线,_FZH,-5345145.292908456,-9511815.50360013
INSERT,7号线,_FZH,-5343630.422195615,-9504981.385754831
INSERT,7号线,_FZH,-5337498.40863574,-9511974.125539886
INSERT,7号线,_FZH,-5336308.153075655,-9506604.461518582
INSERT,7号线,_FZH,-5329687.988241119,-9513705.406354558
INSERT,7号线,_FZH,-5328497.732681033,-9508335.74233326
INSERT,7号线,_FZH,-5495854.682136727,-9476872.407022407
INSERT,7号线,_FZH,-5494664.426576644,-9471502.743001099
INSERT,7号线,_FZH,-5313342.173610732,-9513897.354443658
INSERT,7号线,_FZH,-5305531.753216111,-9515628.63525833
INSERT,7号线,_FZH,-5297721.33282148,-9517359.916073003
INSERT,7号线,_FZH,-5321152.594005353,-9512166.073628989
INSERT,7号线,_FZH,-5265505.805784349,-9519891.677859721
INSERT,7号线,_FZH,-5267713.188825053,-9529849.963871892
INSERT,7号线,_FZH,-5260879.070980172,-9531364.834586584
INSERT,7号线,_FZH,-5254533.104409911,-9532771.500248427
INSERT,7号线,M_A20XCS,-5423953.100041578,-9486586.843095292
INSERT,7号线,M_A20XCS,-5409725.22974863,-9489740.634777078
INSERT,7号线,_FZH,-5273316.226178971,-9518160.397045049
INSERT,7号线,_FZH,-5275523.609219682,-9528118.68305722
INSERT,7号线,_FZH,-5281126.646573592,-9516429.116230375
INSERT,7号线,_FZH,-5283334.0296143,-9526387.402242546
INSERT,7号线,_FZH,-5288448.915693925,-9514806.040466536
INSERT,7号线,_FZH,-5290656.298734632,-9524764.326478708
INSERT,7号线,_FZH,-5247698.986564614,-9534286.370961266
INSERT,7号线,_LV13,-5446816.761787756,-9499492.996459485
INSERT,7号线,_FZH,-6636396.36304854,-9157534.582293802
INSERT,7号线,_FZH,-6635206.107488452,-9152164.918272498
INSERT,7号线,_FZH,-6629074.093928576,-9159157.658057553
INSERT,7号线,_FZH,-6627883.838368493,-9153787.994036253
INSERT,7号线,_FZH,-6621263.673533958,-9160888.938872226
INSERT,7号线,_FZH,-6620073.41797387,-9155519.274850922
INSERT,7号线,_FZH,-6613453.253139331,-9162620.219686898
INSERT,7号线,_FZH,-6612262.997579243,-9157250.555665598
INSERT,7号线,_FZH,-6605642.832744707,-9164351.500501574
INSERT,7号线,_FZH,-6604452.577184622,-9158981.836480268
INSERT,7号线,_FZH,-6597832.412350086,-9166082.781316246
INSERT,7号线,_FZH,-6596642.156790001,-9160713.117294939
INSERT,7号线,_FZH,-6590021.991955466,-9167814.062130913
INSERT,7号线,_FZH,-6588831.736395378,-9162444.398109613
INSERT,7号线,_FZH,-6642254.178344504,-9156236.121682796
INSERT,7号线,_FZH,-6641063.922784419,-9150866.457661495
INSERT,7号线,_FZH,-6582211.571560839,-9169545.342945589
INSERT,7号线,_FZH,-6581021.316000754,-9164175.678924284
INSERT,7号线,_FZH,-6574401.151166216,-9171276.623760261
INSERT,7号线,_FZH,-6573210.895606128,-9165906.959738961
INSERT,7号线,_FZH,-6566590.730771593,-9173007.904574934
INSERT,7号线,_FZH,-6565400.475211506,-9167638.240553628
INSERT,7号线,_FZH,-6558780.310376969,-9174739.18538961
INSERT,7号线,_FZH,-6557590.054816884,-9169369.521368304
INSERT,7号线,_FZH,-6549779.634422263,-9171100.802182978
INSERT,7号线,_FZH,-6550969.889982347,-9176470.466204282
INSERT,7号线,_FZH,-6543159.469587721,-9178201.747018951
INSERT,7号线,_FZH,-6541969.214027637,-9172832.082997649
INSERT,7号线,_FZH,-6535349.049193101,-9179933.027833625
INSERT,7号线,_FZH,-6534158.793633012,-9174563.363812321
INSERT,7号线,_FZH,-6526641.264003188,-9176229.721596442
INSERT,7号线,_FZH,-6518830.843608567,-9177961.002411114
INSERT,7号线,_FZH,-6511020.423213939,-9179692.283225788
INSERT,7号线,_FZH,-6503210.002819319,-9181423.564040461
INSERT,7号线,_FZH,-6496914.453137536,-9189988.962700432
INSERT,7号线,_FZH,-6495399.582424695,-9183154.844855133
INSERT,7号线,_FZH,-6489267.568864819,-9190147.584640188
INSERT,7号线,_FZH,-6488077.313304734,-9184777.920618884
INSERT,7号线,_FZH,-6481457.148470198,-9191878.86545486
INSERT,7号线,_FZH,-6480266.892910113,-9186509.201433562
INSERT,7号线,_FZH,-6647623.842365805,-9155045.866122708
INSERT,7号线,_FZH,-6646433.586805725,-9149676.202101401
INSERT,7号线,_FZH,-6465111.333839812,-9192070.813543962
INSERT,7号线,_FZH,-6457300.913445191,-9193802.094358632
INSERT,7号线,_FZH,-6449490.493050562,-9195533.375173305
INSERT,7号线,_FZH,-6472921.754234432,-9190339.532729291
INSERT,7号线,_FZH,-6417274.966013429,-9198065.136960023
INSERT,7号线,_FZH,-6419482.349054135,-9208023.422972194
INSERT,7号线,_FZH,-6412648.231209253,-9209538.293686888
INSERT,7号线,_FZH,-6406302.264638991,-9210944.959348729
INSERT,7号线,M_A20XCS,-6575722.260270659,-9164760.302195594
INSERT,7号线,M_A20XCS,-6561494.389977712,-9167914.093877381
INSERT,7号线,_FZH,-6425085.386408051,-9196333.856145351
INSERT,7号线,_FZH,-6427292.769448762,-9206292.142157522
INSERT,7号线,_FZH,-6432895.806802672,-9194602.575330677
INSERT,7号线,_FZH,-6435103.18984338,-9204560.861342848
INSERT,7号线,_FZH,-6440218.075923004,-9192979.499566838
INSERT,7号线,_FZH,-6442425.458963714,-9202937.78557901
INSERT,7号线,_FZH,-6399468.146793695,-9212459.830061568
INSERT,7号线,_LV13,-6598585.922016837,-9177666.455559787
INSERT,ARDOOR,AUD02D1S,-6555194.913022997,-9217957.579148171
INSERT,建-墙体－砖墙,sdf2f2f3f,-6554461.406108852,-9215521.538801732
INSERT,建-墙体－砖墙,sdf2f2f3f,-6545671.604505346,-9198526.227526391
