type,layer,x,y,text
TEXT,PUB_TEXT,-5547685.379854941,-9835138.429548717,风孔
TEXT,PUB_TEXT,-5547350.234556854,-9835114.478991959,600x1000
ATTRIB,WINDOW_TEXT,-5575172.404291077,-9822983.216224763,
TEXT,PUB_TEXT,-5532155.248563649,-9719723.900559847,-5.133
TEXT,PUB_TEXT,-5531153.066232137,-9733747.653728332,-5.105
ATTRIB,WINDOW_TEXT,-5554366.847800401,-9916987.183170205,
TEXT,PUB_TEXT,-5549191.946100591,-9822200.779335501,特级防火卷帘
TEXT,PUB_TEXT,-5541653.441925443,-9864289.47733505,预埋
TEXT,PUB_TEXT,-5541682.561143387,-9863882.005848013,1
TEXT,PUB_TEXT,-5541692.33688084,-9863745.211848794,根
TEXT,PUB_TEXT,-5541706.896489812,-9863541.476105273,D3=219
TEXT,PUB_TEXT,-5541782.047471478,-9862489.87223627,防护密闭套管
TEXT,PUB_TEXT,-5541869.405125311,-9861267.457775159,(GPS)
TEXT,PUB_TEXT,-5539836.540790353,-9864159.635758845,预埋
TEXT,PUB_TEXT,-5539865.660008298,-9863752.164271808,6
TEXT,PUB_TEXT,-5539877.879680114,-9863581.171772784,根
TEXT,PUB_TEXT,-5539892.439289084,-9863377.436029265,DN80
TEXT,PUB_TEXT,-5539943.150927121,-9862667.817158314,、
TEXT,PUB_TEXT,-5539957.710536092,-9862464.081414792,12
TEXT,PUB_TEXT,-5539979.705945361,-9862156.294916548,根
TEXT,PUB_TEXT,-5539994.265554335,-9861952.55917303,DN50
TEXT,PUB_TEXT,-5540044.977192368,-9861242.940302075,热镀锌钢管（
TEXT,PUB_TEXT,-5540132.3348462,-9860020.52584096,DZ
TEXT,PUB_TEXT,-5540157.385173421,-9859669.991217963,）（双排布置）
TEXT,PUB_TEXT,-5540514.683898813,-9864208.09803805,预埋
TEXT,PUB_TEXT,-5540543.803116759,-9863800.626551013,6
TEXT,PUB_TEXT,-5540556.022788576,-9863629.63405199,根
TEXT,PUB_TEXT,-5540570.582397547,-9863425.898308468,DN50
TEXT,PUB_TEXT,-5540621.294035584,-9862716.279437515,热镀锌密闭钢管
TEXT,PUB_TEXT,-5540723.211298387,-9861290.129232884,(FAS/BAS)
TEXT,PUB_TEXT,-5544953.192234398,-9855012.146743447,预埋
TEXT,PUB_TEXT,-5544982.31145234,-9854604.675256407,8
TEXT,PUB_TEXT,-5544994.531124158,-9854433.682757385,根
TEXT,PUB_TEXT,-5545009.090733129,-9854229.947013864,DN80
TEXT,PUB_TEXT,-5545059.802371165,-9853520.328142913,热镀锌密闭钢管
TEXT,PUB_TEXT,-5544474.413237128,-9854977.931662363,（
TEXT,PUB_TEXT,-5544488.972846099,-9854774.195918842,TX
TEXT,PUB_TEXT,-5544512.190222552,-9854449.310170696,）双排布置
TEXT,PUB_TEXT,-5540940.775602601,-9853918.888913158,预埋
TEXT,PUB_TEXT,-5540969.894820545,-9853511.417426121,1
TEXT,PUB_TEXT,-5540979.670557996,-9853374.623426901,根
TEXT,PUB_TEXT,-5540994.230166968,-9853170.887683385,D3=219
TEXT,PUB_TEXT,-5541069.381148636,-9852119.283814378,防护密闭套管
TEXT,PUB_TEXT,-5541156.738802467,-9850896.869353265,(GPS)
TEXT,PUB_TEXT,-5540328.76494984,-9853875.15267112,管中心距顶板
TEXT,PUB_TEXT,-5540416.122603671,-9852652.738210005,500mm
TEXT,PUB_TEXT,-5548180.306974674,-9840831.962543457,预埋
TEXT,PUB_TEXT,-5548212.383613191,-9840383.107233519,D3=219
TEXT,PUB_TEXT,-5548276.705714636,-9839483.03421727,人防密闭套管管中心距顶板
TEXT,PUB_TEXT,-5548469.165545736,-9836789.902357628,0.5m
TEXT,PUB_TEXT,-5547821.222726721,-9840806.301232644,预埋
TEXT,PUB_TEXT,-5547853.299365238,-9840357.445922702,D3=140
TEXT,PUB_TEXT,-5547917.621466686,-9839457.372906457,人防密闭套管管中心距顶板
