method,occupant_name,exit_time_s,congestion_time_total_s,distance_m
Pathfinder Goto Any Exit,57872,133.55,1.425,0
Pathfinder Goto Any Exit,57873,135.175,0.175,0
Pathfinder Goto Any Exit,57874,124.525,0.175,0
Pathfinder Goto Any Exit,57875,138.925,0.175,0
Pathfinder Goto Any Exit,57876,110.825,0.175,0
Pathfinder Goto Any Exit,57877,142.875,0.175,0
Pathfinder Goto Any Exit,57878,139.45,0.175,0
Pathfinder Goto Any Exit,57879,147.0,0.175,0
Pathfinder Goto Any Exit,57880,109.975,0.175,0
Pathfinder Goto Any Exit,57881,112.275,7.95,0
Pathfinder Goto Any Exit,57882,127.75,15.025,0
Pathfinder Goto Any Exit,57883,145.0,0.25,0
Pathfinder Goto Any Exit,57884,138.85,0.175,0
Pathfinder Goto Any Exit,57885,58.15,0.175,0
Pathfinder Goto Any Exit,57886,140.225,0.275,0
Pathfinder Goto Any Exit,57887,55.475,13.25,0
Pathfinder Goto Any Exit,57888,108.6,0.175,0
Pathfinder Goto Any Exit,57889,60.625,0.175,0
Pathfinder Goto Any Exit,57890,67.8,19.55,0
Pathfinder Goto Any Exit,57891,120.2,10.225,0
Pathfinder Goto Any Exit,57892,59.4,23.9,0
Pathfinder Goto Any Exit,57893,134.875,0.55,0
Pathfinder Goto Any Exit,57894,153.6,7.05,0
Pathfinder Goto Any Exit,57895,138.075,0.65,0
Pathfinder Goto Any Exit,57896,133.425,1.6,0
Pathfinder Goto Any Exit,57897,109.55,0.175,0
Pathfinder Goto Any Exit,57898,131.625,0.175,0
Pathfinder Goto Any Exit,57899,105.05,0.175,0
Pathfinder Goto Any Exit,57900,121.425,8.525,0
Pathfinder Goto Any Exit,57901,61.575,0.175,0
Pathfinder Goto Any Exit,57902,56.55,0.175,0
Pathfinder Goto Any Exit,57903,64.325,0.175,0
Pathfinder Goto Any Exit,57904,113.25,0.175,0
Pathfinder Goto Any Exit,57905,143.975,0.175,0
Pathfinder Goto Any Exit,57906,118.45,0.175,0
Pathfinder Goto Any Exit,57907,108.475,0.175,0
Pathfinder Goto Any Exit,57908,126.85,0.175,0
Pathfinder Goto Any Exit,57909,122.775,0.175,0
Pathfinder Goto Any Exit,57910,142.025,0.175,0
Pathfinder Goto Any Exit,57911,113.125,0.175,0
Pathfinder Goto Any Exit,57912,138.85,10.05,0
Pathfinder Goto Any Exit,57913,140.875,0.175,0
Pathfinder Goto Any Exit,57914,106.825,0.175,0
Pathfinder Goto Any Exit,57915,138.5,0.175,0
Pathfinder Goto Any Exit,57916,148.8,5.375,0
Pathfinder Goto Any Exit,57917,136.15,0.175,0
Pathfinder Goto Any Exit,57918,145.7,0.175,0
Pathfinder Goto Any Exit,57919,120.55,0.175,0
